s11_MRI,s11_iperf,s12_MRI,s12_iperf
30.0,2724.0,25.0,1197.0
65.0,56.0,73.0,56.0
65.0,1486.84140969163,73.0,1482.812030075188
65.0,1490.0,73.0,1490.0
