s11_MRI,s11_iperf,s12_MRI,s12_iperf
29.0,1360.0,25.0,840.0
65.0,56.0,73.0,56.0
65.0,1487.8911764705883,73.0,1486.5857142857142
65.0,1490.0,73.0,1490.0
