s11_MRI,s11_iperf,s12_MRI,s12_iperf
30.0,3632.0,23.0,603.0
65.0,56.0,73.0,56.0
65.0,1486.84140969163,73.0,1470.9751243781095
65.0,1490.0,73.0,1490.0
