s11_MRI,s11_iperf,s12_MRI,s12_iperf
29.0,1816.0,22.0,299.0
65.0,56.0,73.0,56.0
65.0,1486.84140969163,73.0,1470.8160535117056
65.0,1490.0,73.0,1490.0
